main ingredient,dish name,vietnamese name,recipe,meat,vegetables,"others (dipping sauce, marinade, flavorings, etc.)",cooking time
beef,crispy salt & pepper beef,thịt bò chiên muối tiêu,https://www.vickypham.com/blog/crispy-salt-pepper-beef?rq=beef,beef,,"sea salt, black pepper, five spice powder, baking soda, corn starch, vegetable oil,  eggs",20
beef,grilled beef in wild betel / piper lolot leaves,bò nướng lá lốt,https://www.vickypham.com/blog/vietnamese-grilled-beef-betel-leaves,beef,"lolot leaves, garlic, black pepper","sugar, fish sauce, oyster sauce, chicken bouillon powder",15
beef,beef & broccoli stir fry,thịt bò xào bông cải xanh,https://www.vickypham.com/blog/restaurant-beef-broccoli,beef,"broccoli, garlic","soy sauce, oyster sauce, baking soda, tapioca starch, thick soy sauce",20
beef,stir-fried water spinach/water spinach with beef,rau muống xào thịt bò,https://www.vickypham.com/blog/stir-fry-water-spinach-morning-glory-garlic-rau-muong-xao-toi,beef,garlic,"salt, black pepper, sugar, oyster sauce,",40
beef,shaking beef ,bò lúc lắc,https://www.vickypham.com/blog/vietnamese-shaking-beef-recipe-thit-bo-luc-lac,beef,"green, yellow, onion","salt, black pepper, oyster sauce, vegetable oil, unsalted butter, soy sauce, fish sauce, honey, rice vinegar, granulated sugar",15
beef,lemongrass grilled beef ,bò nướng vỉ,https://www.vickypham.com/blog/vietnamese-grilled-lemongrass-beef-bo-nuong-vi,beef,"cucumbers, pineapple, leafy lettuce, mint, perilla, sorrel, onion","lemongrass, oyster sauce, soy sauce, white sugar, orange juice, sesame oil, garlic powder, red pepper flakes, butter",30
beef,green papaya & beef jerky salad,gỏi đu đủ khô bò,https://www.vickypham.com/blog/vietnamese-papaya-salad-topped-with-beef-jerky-roasted-peanuts-goi-du-du,beef,"green papaya, thai basil leave","soy sauce, white sugar, white vinegar, red chili, toasted peanuts",10
beef,beef stew,bò kho,https://www.vickypham.com/blog/vietnamese-beef-stew-bo-kho,beef,"garlic, shallots, lemongrass, ginger, carrot, green onion, lemon","red curry powder, salt, white sugar, chicken bouillon powder, vegetable oil, tomato paste, coconut soda",180
beef,beef & tomato stir fry recipe,thịt bò xào cà,https://www.vickypham.com/blog/vietnamese-beef-tomato-stirfry-thit-bo-xao-ca,beef,"tomato, garlic, green onion, mushroom","cornstarch, black pepper, vegetable oil, fish sauce, oyster sauce, granulated sugar, bell peppers, rice wine",40
beef,beef & watercress salad,bò xào xà lách xoong,https://www.vickypham.com/blog/vietnamese-beef-watercress-salad-bo-xao-xa-lach-xoong,beef,"watercress salad, tomato, garlic, onion","salt, black pepper, vegetable oil, fish sauce dipping sauce, white vinegar, granulated sugar",15
pork,caramelized pork spare ribs,sườn ram mặn ,https://www.vickypham.com/blog/vietnamese-caramelized-pork-spareribs-suon-ram-man,pork ,"garlic, green onion","fish sauce, black pepper, caramel sauce, coconut soda ",90
pork,caramelized pork belly and pineapple ,thịt kho thơm ,https://www.vickypham.com/blog/vietnamese-braised-pork-and-pineapple-thit-kho-thom,pork,pineapple,"fish sauce, granulated sugar, black pepper, soy sauce",60
pork,grilled pork & rice noodles,bún thịt nướng ,https://www.hungryhuy.com/bun-thit-nuong-recipe-vietnamese-grilled-bbq-pork-with-rice-vermicelli-vegetables/,pork,"green leaf lettuce, mint (rau thơm), perilla, balm, cucumber, pickled daiikon and carrot","shallots minced, garlic minced, sugar, fish sauce, thick soy sauce, pepper, neutral cooking oil",105
pork,barbecue pork ,thịt xá xíu,https://www.vickypham.com/blog/vietnamese-barbecue-pork-thit-xa-xiu,pork ,ground black or white pepper,"bbq pork seasoning mix, five spice powder, honey,sesame oil, soy sauce ",130
pork,caramelized pork belly with young bamboo shoots,thịt ba chỉ kho măng tươi,https://www.vickypham.com/blog/vietnamese-caramelized-pork-belly-with-young-bamboo-shoots-thit-ba-chi-kho-mang-tuoi,pork,"garlic, bamboo shoots ","fish sauce, granulated sugar, black pepper, soy sauce",130
pork,crispy roasted pork belly,thịt heo quay ,https://www.vickypham.com/blog/vietnamese-chinese-crispy-roasted-pork-belly-thit-heo-quay,pork ,,"coca cola, cloves garlic (peel and mince finely), fish sauce, granulated sugar, chicken bouillon powder",150
pork,vietnamese braised pork with eggs,thịt kho trứng ,https://www.hungryhuy.com/how-to-make-thit-heo-kho-voi-trung-vietnamese-braised-pork-with-hard-boiled-eggs/,pork,onion,"coconut, fish sauce, salt, caramel color, hard-boiled eggs",150
